model,n_pairs_mean,n_pairs_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,TPR@FPR=0.01_mean,TPR@FPR=0.01_std,TPR@FPR=0.001_mean,TPR@FPR=0.001_std,best_F1_mean,best_F1_std,best_F1_threshold_mean,best_F1_threshold_std,n_queries_mean,n_queries_std,Recall@1_mean,Recall@1_std,Recall@5_mean,Recall@5_std,Recall@10_mean,Recall@10_std,Top1_accuracy_mean,Top1_accuracy_std,MRR_mean,MRR_std,mAP_mean,mAP_std,op_threshold_mean,op_threshold_std,op_precision_mean,op_precision_std,op_recall_mean,op_recall_std,op_F1_mean,op_F1_std,op_observed_FDR_mean,op_observed_FDR_std,rf_oob_accuracy_mean,rf_oob_accuracy_std
M1_SAAP_Jaccard,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.992394687347916,0.006998200003732247,0.9923048254249931,0.006381167987084647,0.9909838407070989,0.006315262127643735,0.9887111134343718,0.00889083347745013,0.994307437873681,0.004495527842139462,0.7390746992466348,0.043361378732423905,67.2,5.932958789676531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9968965517241379,0.006939521309482149,0.5229180616484955,0.003955460516695962,0.9862186325307325,0.028009614476135983,0.9887111134343718,0.00889083347745013,0.9873088895165262,0.015914192835334517,0.013781367469267499,0.02800961447613597,,
M2_SAAP_weighted,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.9924456147306417,0.007059378350660019,0.9926970217996223,0.006802680963976117,0.9920201101371507,0.007428765300013124,0.9920201101371507,0.007428765300013124,0.9959829118250172,0.0037406257815353946,0.7597006733726409,0.034427152670618605,67.2,5.932958789676531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9968965517241379,0.006939521309482149,0.5255950087072179,0.005904158320469786,0.9611965811965811,0.08115518512913124,0.9920201101371507,0.007428765300013124,0.9750150984456034,0.046185783980914524,0.0388034188034188,0.08115518512913121,,
M3_PCA_cosine,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.7969665625927327,0.02052148477471846,0.4919198209021355,0.02585010761070629,0.37423276306368425,0.044261057578507006,0.1956644757960597,0.10996603076076909,0.5263054765905476,0.05182439680305214,0.7275467664526797,0.019174524356708054,67.2,5.932958789676531,0.9396886823864511,0.01924277390252305,0.9729819746249767,0.007424882290692105,0.9760122776552798,0.008726749586083146,0.9396886823864511,0.01924277390252305,0.9532675513585309,0.012650545119146183,0.5971654487540236,0.033353085511420265,,,,,0.0,0.0,0.0,0.0,,,,
M4_RandomForest,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.9999255505794359,0.0001664739652669851,0.9991231081987657,0.001960789676472415,1.0,0.0,0.9613636363636363,0.08639353549431007,0.9950138504155124,0.011149369416896442,0.4832275250167407,0.0797688249649108,67.2,5.932958789676531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9498746849555673,0.03292593403305365,1.0,0.0,0.09645723380833685,0.09903068511631129,0.16443821344565657,0.15943808236758306,0.0,0.0,0.9991033563269294,0.00033633915520866396
M5_Contrastive,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.9878175685600261,0.007090748032771065,0.8804985775420157,0.0829454036127786,0.6730490871633094,0.20415795739801973,0.37255190149710143,0.2257811227193701,0.8300322428867777,0.0639795928454009,-0.2297830253839493,0.014857905343382454,67.2,5.932958789676531,0.9792169868031937,0.016395276451877046,0.9971428571428571,0.006388765649999379,1.0,0.0,0.9792169868031937,0.016395276451877046,0.9881510619441654,0.010202849422196526,0.9326060487422151,0.038896854060220185,,,,,0.0,0.0,0.0,0.0,,,,
baseline:majority_different,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.5,0.0,0.08333469712748684,0.00586737633596362,0.0,0.0,0.0,0.0,0.15958093991003916,0.00979156057448033,0.0,0.0,67.2,5.932958789676531,0.04493880276841737,0.004202947748251126,0.10614770351078669,0.03297446042811046,0.17149775575739062,0.030908740343355032,0.04493880276841737,0.004202947748251126,0.09934040639734364,0.00638896481460787,0.17782998056206883,0.007646482480393512,,,,,0.0,0.0,0.0,0.0,,,,
baseline:random,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.4864559013799992,0.013800983606714787,0.08015489924691767,0.006072426280693409,0.0024435531788472966,0.00335957250485207,0.0,0.0,0.15582626759753476,0.009683957830823474,0.17354921867516682,0.13317085734725093,67.2,5.932958789676531,0.06571038412823402,0.022610202459407328,0.31180861296479956,0.06487391284756762,0.5285875736382837,0.09570979316746529,0.06571038412823402,0.022610202459407328,0.1961194391825158,0.030254610327923814,0.13254257070630163,0.01545677908811555,,,,,0.0,0.0,0.0,0.0,,,,
baseline:raw_cosine,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.9969078052155872,0.0018267944430955829,0.9612278828310561,0.04337505132282126,0.9451910872236663,0.018684423431284028,0.6718380996149435,0.365523867595852,0.9315366166353132,0.012191591111042382,0.996184902523404,9.730894990437605e-05,67.2,5.932958789676531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9866667932585121,0.009574542892146543,,,,,0.0,0.0,0.0,0.0,,,,
baseline:raw_spearman,2238.4,386.707641507121,184.8,21.087911228948208,2053.6,365.96147338210335,0.9918280675892255,0.0030479697848673102,0.9237905119541928,0.055458569521383824,0.8434810261462543,0.04335408409006371,0.5794844707255118,0.30923328534683014,0.871338777575407,0.0224610916811695,0.6895511265120108,0.01565743536510195,67.2,5.932958789676531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9668387642144374,0.012234100469100265,,,,,0.0,0.0,0.0,0.0,,,,
