model,n_queries,n_queries_with_true_match_in_db,Top1_accuracy,recall@1_openset,MRR,argmax_correct,Recall@1,Recall@5,Recall@10,null_threshold_p95,null_threshold_p99,null_threshold_p99.9,n_pass_null_p95,n_pass_null_p99,n_pass_null_p99.9,threshold_decoyFDR1,n_identified_decoyFDR1,n_correct_decoyFDR1,observed_FDR_decoyFDR1,decoy_estimated_FDR_decoyFDR1,n_cross_cohort_hits_decoyFDR1,threshold_trueFDR1,n_identified_trueFDR1,n_correct_trueFDR1,observed_FDR_trueFDR1,decoy_estimated_FDR_trueFDR1,n_cross_cohort_hits_trueFDR1,threshold_decoyFDR5,n_identified_decoyFDR5,n_correct_decoyFDR5,observed_FDR_decoyFDR5,decoy_estimated_FDR_decoyFDR5,n_cross_cohort_hits_decoyFDR5,threshold_trueFDR5,n_identified_trueFDR5,n_correct_trueFDR5,observed_FDR_trueFDR5,decoy_estimated_FDR_trueFDR5,n_cross_cohort_hits_trueFDR5
M1_SAAP_Jaccard,336,336,1.0,0.9821428571428571,1.0,330,1.0,1.0,1.0,0.5317796610169492,0.5419209354120267,0.5510499244894832,330,330,330,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0
M2_SAAP_weighted,336,336,1.0,0.9851190476190477,1.0,331,1.0,1.0,1.0,0.5330301775214251,0.5454801894991045,0.5469598237021314,331,331,331,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0,0.0,336,336,0.0,0.0,0
M3_PCA_cosine,336,336,0.9226190476190477,0.8958333333333334,0.9403006414400986,301,0.9226190476190477,0.9642857142857143,0.9672619047619048,0.9945921331977865,1.0,1.0000000000000002,7,0,0,0.6799007414215811,321,304,0.052959501557632405,0.009345794392523364,0,1.0,9,9,0.0,0.0,0,0.5654245229803068,331,310,0.06344410876132933,0.015105740181268883,0,0.6913860436682856,316,301,0.04746835443037978,0.00949367088607595,0
M4_RandomForest,336,336,0.9970238095238095,0.9702380952380952,0.9980158730158731,326,0.9970238095238095,1.0,1.0,0.5698331118764238,0.9588584863308537,0.9964767606193705,326,54,3,0.654577922077922,336,335,0.0029761904761904656,0.0,0,0.654577922077922,336,335,0.0029761904761904656,0.0,0,0.654577922077922,336,335,0.0029761904761904656,0.0,0,0.654577922077922,336,335,0.0029761904761904656,0.0,0
M5_Contrastive,336,336,0.9523809523809523,0.9255952380952381,0.9731481481481481,311,0.9523809523809523,0.9940476190476191,1.0,-0.1322508156299591,-0.0,-0.0,181,0,0,-0.23502060770988464,329,317,0.03647416413373861,0.00911854103343465,0,-0.13157205283641815,191,190,0.005235602094240788,0.0,0,-0.26232779026031494,332,320,0.03614457831325302,0.012048192771084338,0,-0.26232779026031494,332,320,0.03614457831325302,0.012048192771084338,0
baseline:raw_cosine,336,336,0.9910714285714286,0.9642857142857143,0.9950396825396827,324,0.9910714285714286,1.0,1.0,0.9986784454317383,1.0,1.0000000000000002,8,0,0,0.9962069903737172,336,333,0.008928571428571397,0.0,0,0.9962069903737172,336,333,0.008928571428571397,0.0,0,0.9962069903737172,336,333,0.008928571428571397,0.0,0,0.9962069903737172,336,333,0.008928571428571397,0.0,0
baseline:raw_spearman,336,336,0.9910714285714286,0.9642857142857143,0.9950396825396827,324,0.9910714285714286,1.0,1.0,0.9410865378155973,0.9999999999999999,1.0,6,0,0,0.713278407558078,336,333,0.008928571428571397,0.0,0,0.713278407558078,336,333,0.008928571428571397,0.0,0,0.713278407558078,336,333,0.008928571428571397,0.0,0,0.713278407558078,336,333,0.008928571428571397,0.0,0
